,title,address,price,price_per_sqm,rooms,sqm
333,Bucurestii Noi | Jiului | Baneasa | Marmura Residence | Metrou | Parca,"Bulevardul Bucurestii Noi, Bucurestii Noi, Sectorul 1, Bucuresti",620,11.27,2,55
3508,Oferta!Garsoniera Universitate-Rosetti!Garantie 100 E!,"Sectorul 2, Bucuresti",259,11.26,1,23
5797,Ion Mihalache ( 1 Mai) - Domenii- bloc 2011,"Strada Constantin Buzdugan, Grivita, Sectorul 1, Bucuresti",1800,11.25,3,160
6506,Duplex ideal investitie zona Herastrau,"Strada Bibescu Voda, Centrul Civic, Sectorul 3, Bucuresti",1800,11.25,4,160
7133,Herastrau - Nordului / 3 Camere / Apartament Lux,"Strada Virgil Madgearu, Herastrau, Sectorul 1, Bucuresti",1800,11.25,3,160
8127,Herastrau Nordului / Apartament 3 Camere / 2 Bai/ 3 Balcoane / Parcare,"Strada Grigore Gafencu, Herastrau, Sectorul 1, Bucuresti",1800,11.25,3,160
6187,"Apartament 3 camere, 120mp, zona Sisesti","Soseaua Pipera, Aviatiei, Sectorul 1, Bucuresti",1350,11.25,3,120
7124,INCHIRIERE || 3 CAMERE || Ambiance Residence || MOBILAT COMPLET,"Vatra Noua, Sectorul 1, Bucuresti",1350,11.25,3,120
815,"Piata Iancului 1 minut metrou, DECOMANDAT, LUX","Piata Iancului, Iancului, Sectorul 2, Bucuresti",900,11.25,3,80
2688,Dorobanti/strada Tudor Stefan aproape de P-ta Floreasca,"Intrarea Tudor Stefan, Floreasca, Sectorul 1, Bucuresti",900,11.25,3,80
3216,"Decebal-stradal, 3 camere decomandat, nemobilat,","Bulevardul Decebal, Decebal, Sectorul 3, Bucuresti",900,11.25,3,80
4659,Nou! Apartament 3 camere lux Aviatiei,"Aviatiei, Sectorul 1, Bucuresti",900,11.25,3,80
6417,"Mihai Bravu - bloc 2012, intre Iancului si Obor, loc parcare subteran","Strada Mihai Bravu, Obor, Sectorul 2, Bucuresti",900,11.25,3,80
7029,Apartament 3 Camere Mobilat Utilat Floreasca,"Floreasca, Sectorul 1, Bucuresti",900,11.25,3,80
7866,3 Camere Piata Unirii Fantani UltraCentral Centrala Spatios Metrou 3',"Cartierul Evreiesc, Sectorul 3, Bucuresti",900,11.25,3,80
2108,"Timpuri noi, Piata Norilor,3cam, dec, parter\8,mob\utilat 810euro","Bulevardul Gheorghe Sincai, Tineretului, Sectorul 4, Bucuresti",810,11.25,3,72
4836,Grozavesti 5` Metrou Politehnica Parc Regie Nou Lux Centrala Terasa,"Strada Alexandru Iacobescu, Grozavesti, Sectorul 6, Bucuresti",675,11.25,2,60
5274,Aviatiei | Apartament 2 Camere Decomandat | Balcon,"Strada Pechea, Baneasa, Sectorul 1, Bucuresti",630,11.25,2,56
39,Studio | Unirii - Alba Iulia | 2023 | Terasa | Parcare | 40mp |,"Bulevardul Unirii, Decebal, Sectorul 3, Bucuresti",450,11.25,1,40
127,Garsoniera | Plaza Residence Faza 4 | Parter | Centrala | AC,"Militari, Sectorul 6, Bucuresti",450,11.25,1,40
448,Lujerului- Exigent Plaza | Garsoniera | First Rent | Balcon | AC,"Strada Sergent Ion Marcu, Militari, Sectorul 6, Bucuresti",450,11.25,1,40
809,Garsoniera| Central Adress-Rahova| Parcare Subterana | Centrala |AC,"Strada Nasaud, Rahova, Sectorul 5, Bucuresti",450,11.25,1,40
816,Tineretului Studio Exclusivist Residence,"Berceni, Sectorul 4, Bucuresti",450,11.25,1,40
904,Garsoniera de închiriat,"Rahova, Sectorul 5, Bucuresti",450,11.25,1,40
920,Garsoniera noua - 158 Residence,"Bulevardul Ghencea, Drumul Taberei, Sectorul 6, Bucuresti",450,11.25,1,40
1017,"Apartament 2 camere, 40 mp, zona Cismigiu","Calea Plevnei, Stirbei, Sectorul 1, Bucuresti",450,11.25,2,40
1134,Cismigiu Sala Palatului Victoriei Ion Campineanu Ateneul Roman Central,"Cismigiu, Sectorul 1, Bucuresti",450,11.25,2,40
