,title,address,price,price_per_sqm,rooms,sqm
687,"Apartament cu 2 camere, decomandat, in Complexul Studentesc","Campus Universitar, Timisoara, Timis",350,6.48,2,54
1199,"Apartament 3 camere de inchiriat, zona Lipovei - ID C3713","Lipovei / Calea Sever Bocu, Timisoara, Timis",350,6.48,3,54
1221,De închiriat apartament 2 camere - zona Modern Timişoara,"Dorobantilor, Timisoara, Timis",350,6.48,2,54
32,"Proprietar, inchiriez apartament 2camere, Girocului","Cetate, Timisoara, Timis",350,6.6,2,53
408,Apartament cu 2 camere,"Cetate, Timisoara, Timis",350,6.6,2,53
709,"Apartament 2 camere, Complex Studentesc cu centrala proprie","Stadion, Timisoara, Timis",350,6.6,2,53
210,Apartament cu 2 camere de închiriat în zona Girocului,"Strada Crivaia, Plavat, Timisoara, Timis",350,6.73,2,52
285,Apartament Lux cu 2 Camere | PET FRIENDLY | Mehala,"Strada Mircea cel Batran, Ronat, Timisoara, Timis",350,6.73,2,52
638,"Apartament cu 2 camere, decomandat, zona Circumvalatiunii","Circumvalatiunii, Timisoara, Timis",350,6.73,2,52
835,"Apartament 2 Camere, Prima inchiriere, Calea Urseni","Cetate, Timisoara, Timis",350,6.73,2,52
1004,"Apartament cu 2 camere,bloc nou ,Calea Aradului","Araduluri Est, Timisoara, Timis",350,6.73,2,52
1109,Proprietar inchiriez apartament 2 camere Girocului,"Plavat, Timisoara, Timis",350,6.73,2,52
229,2 camere Medicina,"Cetate, Timisoara, Timis",350,6.86,2,51
901,"Apartament decomandat 2 camere,Liviu Rebreanu","Campus Universitar, Timisoara, Timis",350,6.86,2,51
25,"Soarelui, 2 camere decomandat, centrala gaz,clima","Strada Sirius, Zona Soarelui, Timisoara, Timis",350,7,2,50
158,"Apartament 2 camere, 50 mp, Complex Studentesc","Strada Ofcea, Campus Universitar, Timisoara, Timis",350,7,2,50
193,Apartament Deosebit cu 2 Camere | Lipovei,"Strada Martir Constantin Zabulica, Lipovei / Calea Sever Bocu, Timisoara, Timis",350,7,2,50
263,Apartament 2 camere Complexul Studențesc,"Campus Universitar, Timisoara, Timis",350,7,2,50
314,"Apartament cu 2 camere, 50mp, Decomandat, in zona Aradului","Araduluri Est, Timisoara, Timis",350,7,2,50
321,CM482 Torontalului | 2 Camere | Decomandat,"Bucovina, Timisoara, Timis",350,7,2,50
332,Apartament decomandat 2 camere Calea Aradului,"Cetate, Timisoara, Timis",350,7,2,50
375,Apartament decomandat cu centrala in Complexul Studentesc,"Stadion, Timisoara, Timis",350,7,2,50
417,"Proprietar, 2 camere Complex","Cetate, Timisoara, Timis",350,7,2,50
437,"Apartament 2 Camere, Etaj intermediar, Central","Cetate, Timisoara, Timis",350,7,2,50
458,2 camere decomandat CENTRALA Soarelui,"Bulevardul Sudului, Zona Soarelui, Timisoara, Timis",350,7,2,50
484,"Apartament cu 2 camere, 50mp, in zona Steaua","Steaua, Timisoara, Timis",350,7,2,50
538,"Apartament 2 camere, 50 mp + pod de 50 mp, in Simion Barnutiu","Dorobantilor, Timisoara, Timis",350,7,2,50
558,CM465 Apartament 2 camere | MEDICINA,"Cetate, Timisoara, Timis",350,7,2,50
644,Apartament 2 camere semidecomandat - Ultracentral,"Strada Coriolan Brediceanu, Cetate, Timisoara, Timis",350,7,2,50
682,Apartament renovat cu 2 camere | Centrala Proprie | Calea Sagului,"Strada Rusu Sirianu, Odobescu, Timisoara, Timis",350,7,2,50
733,Apartament de 2 camere zona Blascovici,"Strada Orhei, Blascovici, Timisoara, Timis",350,7,2,50
798,Apartament 2 camere | etaj 1 | loc de parcare | zona Braytim,"Cetate, Timisoara, Timis",350,7,2,50
803,"Apartament cu 2 camere, decomandat, zona Stadion","Cetate, Timisoara, Timis",350,7,2,50
812,"Apartament cu 2 camere, 50mp, Semidecomandat, in zona Take Ionescu","Cetate, Timisoara, Timis",350,7,2,50
876,"Apartament de 2 camere, decomandat, zona Complexul Studențesc","Strada Vaida Voevod Alexandru, Campus Universitar, Timisoara, Timis",350,7,2,50
886,Apartament cu 2 camere in zona Girocului,"Fratelia, Timisoara, Timis",350,7,2,50
888,Kiriac - Ap 2 camere - CT. Proprie - Renovat,"Odobescu, Timisoara, Timis",350,7,2,50
1028,"Apartament cu doua camere, decomandat, in zona Sagului","Steaua, Timisoara, Timis",350,7,2,50
1089,Apartament cu doua camere si centrala Girocului,"Calea Girocului, Timisoara, Timis",350,7,2,50
1138,LUX Bloc Nou zona Girocului,"Calea Martirilor 1989, Plavat, Timisoara, Timis",350,7,2,50
1200,"Proprietar inchiriez ap 2 camere, complex","Cetate, Timisoara, Timis",350,7,2,50
668,Apartament luminos 2 camere | Girocului,"Calea Sagului, Timisoara, Timis",350,7.14,1,49
352,"Apartament 2 camere mobilat , utilat, zona Complex Stadion","Campus Universitar, Timisoara, Timis",350,7.29,2,48
647,Apartament superb cu 2 camere | Aradului,"Strada Gheorghe Ivanescu, Araduluri Est, Timisoara, Timis",350,7.29,2,48
716,"Apartament de 2 camere, decomandat, zona Take Ionescu","Bulevardul Take Ionescu, Tipografilor, Timisoara, Timis",350,7.29,2,48
983,"Apartament cu 2 camere, semidecomandat, in zona Sinaia","Blascovici, Timisoara, Timis",350,7.45,2,47
744,Apartament spatios cu 2 camere | Aradului,"Strada Dej, Aradului West, Timisoara, Timis",350,7.61,2,46
