,title,address,price,price_per_sqm,rooms,sqm
2369,"Apartament RENOVABIL, 2 camere, Calea Sagului","Strada Giuseppe Verdi, Calea Sagului, Timisoara, Timis",49000,1167,2,42
912,"Apartament cu o camera, decomandat, centrala proprie, situat in zona F","Freidorf, Timisoara, Timis",49000,1289,1,38
1081,"Apartament 38 mp, centrala proprie, zona Ronat","Strada Grigore Ureche, Ronat, Timisoara, Timis",49000,1289,2,38
2112,"Apartamente cu 1 si 2 camere. Decomandat, cu bucatarie inchisa in Bray","Cetate, Timisoara, Timis",49000,1441,1,34
2670,"Apartamente cu 1 si 2 camere, bucatarie inchisa zona Braytim. Finaliza","Cetate, Timisoara, Timis",49000,1441,1,34
2565,Piata Doina-2 camere-zona de interes,"Cetate, Timisoara, Timis",49000,1581,2,31
928,"Apartament cu 3 camere, decomandat, situat in zona Buziasului","Zona Soarelui, Timisoara, Timis",49500,990,3,50
1452,"Apartament cu 2 camere, 43 mp, etaj intermediar, Sagului","Strada Gheorghe Ranetti, Calea Sagului, Timisoara, Timis",49500,1151,2,43
1222,"SC003 Apartament 2 camere, necesita renovari, Sagului","Dambovita, Timisoara, Timis",49500,1179,2,42
2285,( Schimb) ( Vând) Apartament 2 camere,"Cetate, Timisoara, Timis",49500,1179,2,42
312,"SC010 Apartament 1 camera transf in 2, Ronat","Ronat, Timisoara, Timis",49500,1238,2,40
1213,"AX408 Girocului, mobilat-utilat, centrala proprie","Blascovici, Timisoara, Timis",49500,1238,1,40
19,Decomandat Etaj Intermediar Calea Girocului,"Calea Martirilor 1989, Calea Girocului, Timisoara, Timis",49500,1303,1,38
2998,Piata Doina-2 camere-zona de interes,"Cetate, Timisoara, Timis",49500,1500,2,33
2041,Girocului. Etaj intermediar. Decomandat. Bloc izolat.,"Calea Girocului, Timisoara, Timis",49500,1547,1,32
1084,"Garsoniera 27mp, confort 1, Calea Lipovei","Strada Verde, Lipovei / Calea Sever Bocu, Timisoara, Timis",49500,1833,1,27
2557,Apartament mobilat,"Plavat, Timisoara, Timis",49800,1509,2,33
2471,"Apartament 2 camere, zona Blascovici, 49.900 euro","Gara Nord, Timisoara, Timis",49900,1248,2,40
892,CM450 Apartament 1 camera | Decomandat | Fraidorf,"Freidorf, Timisoara, Timis",49900,1313,1,38
949,Apartament cu o camera la mansarda | Soarelui,"Bulevardul Sudului, Zona Soarelui, Timisoara, Timis",49900,1386,1,36
1722,Spatios Iulius Mall,"Strada Timis, Circumvalatiunii, Timisoara, Timis",49900,1426,1,35
2499,Sagului - 3 camere - Centrala Proprie - 49900 Euro,"Elisabetin, Timisoara, Timis",49900,1468,3,34
1247,Apartament 2 Camere | De Vanzare | Zona Sagului | Renovat,"Odobescu, Timisoara, Timis",49990,1483,2,33.7
1394,"Apartament 2 camere, centrala, zona Sagului","Strada Gavril Musicescu, Calea Sagului, Timisoara, Timis",49999,1429,2,35
943,Apartament decomandat cu 2 camere si vedere catre Bega | Iosefin,"Iosefin, Timisoara, Timis",50000,833,3,60
2765,Baile Herculane apart. cu 2 camere decomandat langa strand Sara Son's,"Cetate, Timisoara, Timis",50000,1000,2,50
1551,"Apartament 2 camere, 43 mp, zona Freidorf","Intrarea Virgil Simionescu, Freidorf, Timisoara, Timis",50000,1163,2,43
3093,"Apartament cu 2 camere, semidecomandat, etajul 4/4, Zona Freidorf","Calea Sagului Parc Industrial, Timisoara, Timis",50000,1163,2,43
120,apartament cu 1 camera,"Cetate, Timisoara, Timis",50000,1250,1,40
285,"Apartament 1 camera,utilat si mobilat, zona de sud a orasului","Cetate, Timisoara, Timis",50000,1250,1,40
911,"Apartament cu 2 camere, zona Sagului","Steaua, Timisoara, Timis",50000,1250,2,40
1841,KIRIAC - Ap. 2 camere - Decomandat - CT. Proprie,"Odobescu, Timisoara, Timis",50000,1282,2,39
442,Etajul 2. Disponibil imediat. Zona linistita. Dambovita.,"Calea Sagului, Timisoara, Timis",50000,1316,2,38
3074,Apartament 1 Camera Girocului,"Strada Iovan Sterja Popovici, Calea Girocului, Timisoara, Timis",50000,1351,1,37
2197,"Apartament o camera (SAD), zona Kogalniceanu","Dorobantilor, Timisoara, Timis",50000,1389,1,36
2284,"Apartament cu 1 cameră (SAD), sup. 36 mp, complet mobilat","Cetate, Timisoara, Timis",50000,1389,1,36
2920,"ap.1 camera, 36 mp, zona Aradului, la 10 min de mers pe jos la MALL","Araduluri Est, Timisoara, Timis",50000,1389,1,36
553,Apartament nou cu o camera,"Cetate, Timisoara, Timis",50000,1667,2,30
1130,"Central - Piata 700, apartament in bloc izolat termic","Cetate, Timisoara, Timis",50000,1786,1,28
2881,"Take Ionescu, 1 cam, ZONA EXCELENTA","Cetate, Timisoara, Timis",50000,1786,1,28
2004,"Apartament 2 camere, bloc nou, Plopi","Calea Buziasului, Timisoara, Timis",50138,1090,2,46
1715,Apartament 2 Camere | De Vanzare | Musicescu,"Plavat, Timisoara, Timis",50500,1443,2,35
2834,"Apartament cu 2 camere, Take Ionescu","Cetate, Timisoara, Timis",51000,927,2,55
1892,"3 Proprietari,( frați) ,Ap. 3 camere,confort 3,et.4,semidecomandat","Fratelia, Timisoara, Timis",51000,1109,2,46
1317,Apartament 1 cameră | parter | loc de parcare | zona Braytim,"Fratelia, Timisoara, Timis",51000,1457,1,35
1889,"3 camere cu centrala .... Sagului , etajul 3 ... 51000 euro","Plavat, Timisoara, Timis",51000,1457,3,35
1570,"Garsoniera de 34 mp, balcon, zona Calea Urseni","Strada Neajlov, Ciarda Rosie, Timisoara, Timis",51000,1500,1,34
