,title,address,price,price_per_sqm,rooms,sqm
291,"Apartament 1 camera Nicolina , 22 metri, etaj 4 Cod:151078","Strada Petre Tutea, Nicolina 1, Iasi, Iasi",28000,1273,1,22
309,"Ap 1 camera et 1,Bloc Nou+Loc Parcare","Podu Ros, Iasi, Iasi",28500,950,1,30
4833,Garsoniera pacurari piata ( exclus agentii ),"Centru, Iasi, Iasi",28500,1781,1,16
35,Garsoniera Renovata - Etajul 1 - Tatarasi,"Podu Ros, Iasi, Iasi",28700,1688,1,17
50,"Garsoniera,Tatarasi.","Tesatura, Iasi, Iasi",28700,1688,1,17
1128,"Garsoniera 16 mp, partial mobilată, LUX","Centru, Iasi, Iasi",29400,1838,1,16
542,"1 camera D, Bloc Nou, Parcare Bonus!","Podu Ros, Iasi, Iasi",29500,983,1,30
714,"29.500 euro! Ap 1 camera, etaj1, BLOC Nou","Podu Ros, Iasi, Iasi",29500,983,1,30
781,"Apart 1 camera D, etaj1, BLOC NOU!","Podu Ros, Iasi, Iasi",29500,983,1,30
1080,"Ap 1 Camera D, Bloc Nou, Parcare Gratuit","Podu Ros, Iasi, Iasi",29500,983,1,30
429,Apartament 1 camera | Rata lunara 488 euro | Loc de parcare inclus,"CUG, Iasi, Iasi",29500,1054,1,28
2183,"Apartament nou cu o camera , zona Capat Cug","CUG, Iasi, Iasi",29500,1054,1,28
2371,"Apartament cu o camera , zona Capat Cug - Lunca Cetatuii","CUG, Iasi, Iasi",29500,1054,1,28
177,"1 camera ,loc parcare CUG Lunca Cetatuii","Soseaua Nicolina, CUG, Iasi, Iasi",29900,1068,1,28
310,"Apart 2 cam Tatarasi, Et 2!","Podu Ros, Iasi, Iasi",30000,857,2,35
432,Apartament 1 camera | Etaj 1 | Loc de parcare inclus,"CUG, Iasi, Iasi",30000,1111,1,27
2238,Apartament cu 1 camera in bloc din 2018 la etajul 1,"Podu Ros, Iasi, Iasi",30000,1111,1,27
2280,"Apartament nou cu o camera , zona Capat Cug","CUG, Iasi, Iasi",30000,1111,1,27
2316,Oferta! Apartament o camera D Loc Parcare zona CUG- Lunca Cetatuii,"Podu Ros, Iasi, Iasi",30000,1111,1,27
3340,"Garsoniera Galata, 24mp, mobilata + utilata, AC","Podu Ros, Iasi, Iasi",30000,1250,1,24
161,Garsoniera Copou de vanzare,"Copou, Iasi, Iasi",30000,1429,1,21
2781,Garsoniera de vanzare Copou,"Copou, Iasi, Iasi",30000,1429,1,21
1946,Spatiu / Garsoniera demisol Ultracentral Iasi,"Centru, Iasi, Iasi",30000,1500,1,20
407,Evo Residence Apartamente Direct De La Dezvoltator,"Centru, Iasi, Iasi",30750,992,2,31
2340,"Garsoniera Alexandru cel Bun, renovata, AC, mobilata + utilata","Podu Ros, Iasi, Iasi",31500,1432,1,22
4386,"Garsoniera - Alexandru cel Bun, gaz separat, termoizolata","Podu Ros, Iasi, Iasi",31900,1329,1,24
871,Apartament 2 camere Tătărași,"Centru, Iasi, Iasi",32000,800,2,40
480,"Apartament 1 cam.D, et.3,Podu Ros-Piata Nicolina","Nicolina 2, Iasi, Iasi",32000,1280,1,25
3483,"Garsoniera, Nicolina, 24mp","Podu Ros, Iasi, Iasi",32000,1333,1,24
620,OCAZIE! Vând GARSONIERĂ * OXYGEN - Galata. 32000 € NEGOCIABIL!!,"Podu Ros, Iasi, Iasi",32000,1455,1,22
3993,"Garsoniera Tatarasi, 32mp, AC, gfp, PVC","Podu Ros, Iasi, Iasi",32500,1016,1,32
4533,"Garsoniera Podu Ros - 20mp, mobilata + utilata","Podu Ros, Iasi, Iasi",32500,1625,1,20
3284,"Garsoniera Podu Ros, 26mp, mobilata + utilata","Podu Ros, Iasi, Iasi",32900,1265,1,26
4459,2 camere SD Dispecer,"Podu Ros, Iasi, Iasi",33000,1000,2,33
4590,2sd Tatarasi 33000 fara risc,"Tatarasi Sud, Iasi, Iasi",33000,1000,2,33
4512,2 camare tudor center,"Tatarasi Nord, Iasi, Iasi",33000,1031,2,32
431,Apartament 1 camera | Loc de parcare inclus | Curte proprie,"CUG, Iasi, Iasi",33000,1179,1,28
