,title,address,price,price_per_sqm,rooms,sqm
1225,"2 camere, mobilat modern, in Gheorgheni, langa Iulius Mall","Gheorgheni, Cluj-Napoca, Cluj",480,8.73,2,55
1792,"Apartament nou, la prima închiriere! Parcare subterană, Calea Baciului","Dambul Rotund, Cluj-Napoca, Cluj",480,8.73,2,55
1884,OCAZIE ! Apartament 2 camere 55mp! Str.Donath ! GRIGORESCU ! Parcare !,"Grigorescu, Cluj-Napoca, Cluj",480,8.73,2,55
2262,Apartament Iulius Mall de inchiriat,"Marasti, Cluj-Napoca, Cluj",480,8.73,2,55
2366,"2 camere, bloc nou, LUX, Gheorgheni , zona Baza Sportiva Gheorgheni","Gheorgheni, Cluj-Napoca, Cluj",480,8.73,2,55
182,"Apartament cu 2 camere, decomandat, situat in cartierul Zorilor!","Strada Gheorghe Dima, Zorilor, Cluj-Napoca, Cluj",480,8.89,2,54
725,"APARTAMENT CU 2 CAMERE, ZORILOR","Zorilor, Cluj-Napoca, Cluj",480,8.89,2,54
761,"Apartament 2 camere decomandate, Zorilor, UMF","Marasti, Cluj-Napoca, Cluj",480,8.89,2,54
1354,Inchiriez Doua Camere | Decomandate | Zona Centrala | Strada Regele Fe,"Centru, Cluj-Napoca, Cluj",480,8.89,2,54
1862,Apartament decomandat+ balcon inchis- Manastur,"Manastur, Cluj-Napoca, Cluj",480,8.89,2,54
776,Apartament modern cu 2 camere și balcon; Sud; Parcare subterană;,"Dambul Rotund, Cluj-Napoca, Cluj",480,9.06,2,53
611,"2 camere bloc nou, mobilat modern, parcare, in Buna Ziua, PET FRIENDLY","Andrei Muresanu, Cluj-Napoca, Cluj",480,9.23,2,52
741,Apartament generos cu 2 camere și parcare subterana. Sud Vest,"Dambul Rotund, Cluj-Napoca, Cluj",480,9.23,2,52
239,"Apartament 2 camere, decomandat, mobilat, Ultracentral.","Strada Regele Ferdinand, Centru, Cluj-Napoca, Cluj",480,9.6,2,50
554,"2 camere decomandate, bloc nou, mobilat modern, parcare, Zorilor","Zorilor, Cluj-Napoca, Cluj",480,9.6,2,50
1168,"2 camere, mobilat modern, bloc nou, balcon, parcare, Semicentral","Centru, Cluj-Napoca, Cluj",480,9.6,2,50
1229,Apartament decomandat cu 2 camere in Marasti!,"Marasti, Cluj-Napoca, Cluj",480,9.6,2,50
1266,Apartament cu 2 camere pe strada Tulcea Intre Lacuri,"Intre Lacuri, Cluj-Napoca, Cluj",480,9.6,2,50
1248,"2 camere, bloc nou, mobilat modern, in Gheorgheni, zona Iulius Mall","Gheorgheni, Cluj-Napoca, Cluj",480,10.67,2,45
1520,"Apartament modern, prima inchiriere, 2 camere bloc nou cu parcare su","Dambul Rotund, Cluj-Napoca, Cluj",480,10.67,2,45
2037,"Apartament in bloc nou, 2 camere, de închiriat, în Centru","Strada Pastorului, Zorilor, Cluj-Napoca, Cluj",480,10.67,2,45
202,"Apartament 2 camere Manastur,mobilat/utilat","Manastur, Cluj-Napoca, Cluj",480,10.91,2,44
1384,2 ROOM APARTMENT | HASDEU | FROM SEPTEMBER,"Strada Remetea, Zorilor, Cluj-Napoca, Cluj",480,12,2,40
1669,Apartament cu 1 camere de închiriat în zona Central,"Marasti, Cluj-Napoca, Cluj",480,12,1,40
2335,"Apart. modern cu 2 camere, bloc lux, langa FSEGA / Iulius Mall","Gheorgheni, Cluj-Napoca, Cluj",480,12,2,40
1254,1 ROOM APARTMENT | HASDEU | FROM SEPTEMBER,"Strada Remetea, Zorilor, Cluj-Napoca, Cluj",480,12.63,1,38
1830,"2 camere,open space, modern, parcare, Manastur, zona Mc Donal's","Manastur, Cluj-Napoca, Cluj",489,9.06,2,54
1278,"2 Camere Decomandate, Zona Kaufland, Lidl, Leroy Merlin, Intre Lacuri","Intre Lacuri, Cluj-Napoca, Cluj",489,9.78,2,50
2212,"Apartament 3 camere, decomandat, 76 mp, parcare, zona Piata Flora","Strada Grigore Alexandrescu, Manastur, Cluj-Napoca, Cluj",490,6.45,3,76
475,Apartament 3 camere inchiriere birou piata M Viteazu,"Centru, Cluj-Napoca, Cluj",490,7,3,70
1519,"COMISION 0! Apartament 2 camere decomandat, PET FRIENDLY, Manastur.","Faget, Cluj-Napoca, Cluj",490,7.66,2,64
458,Apartament 2 camere Marasti IULIUS MALL,"Strada Nirajului, Intre Lacuri, Cluj-Napoca, Cluj",490,8.75,2,56
